Title,Author,Goodreads Rating,Kindle Price,Hardcover Price New,Hardcover Price Used,Paperback Price New,Paperback Price New,link
"On Earth We're Briefly Gorgeous","Ocean Vuong","4.06","5.99","10.59","7.78","7.49","—","https://www.amazon.co.uk/gp/product/0525562028"
"Where the Forest Meets the Stars","Glendy Vanderah","4.16","1.99","19.99","—","4.99","17.00","https://www.amazon.co.uk/gp/product/154204006X"
"Queenie","Candice Carty-Williams","3.76","4.99","10.65","5.00","6.29","8.73","https://www.amazon.co.uk/gp/product/1501196014"
"England: Poems from a School","Kate Clanchy","4.64","6.99","—","—","7.55","5.20","https://www.amazon.co.uk/gp/product/1509886605"
"Newborn","Kate Clanchy","4.28","5.99","—","—","—","49.40","https://www.amazon.co.uk/gp/product/0330419315"
"Bad Blood: Secrets and Lies in a Silicon Valley Startup","John Carreyrou","4.44","3.99","—","16.95","6.96","—","https://www.amazon.co.uk/gp/product/152473165X"
"The Body: A Guide for Occupants","Bill Bryson","4.32","8.99","12.50","17.35","—","19.91","https://www.amazon.co.uk/gp/product/0385539304"
"Gotta Get Theroux This: My Life and Strange Times in Television","Louis Theroux","3.98","5.99","15.30","7.82","8.99","—","https://www.amazon.co.uk/gp/product/1509880364"
"Moby-Dick or, the Whale","Herman Melville","3.50","0.00","7.99","10.16","2.25","1.07","https://www.amazon.co.uk/gp/product/0142437247"
"Two Caravans","Marina Lewycka","3.50","2.99","—","3.45","8.99","1.50","https://www.amazon.co.uk/gp/product/1905490321"
"Aroused: The History of Hormones and How They Control Just About Everything","Randi Hutter Epstein","3.88","6.64","16.99","5.05","11.03","11.03","https://www.amazon.co.uk/gp/product/0393357082"
"Grime Kids: The Inside Story of the Global Grime Takeover","Dj Target","3.93","3.99","16.99","—","7.37","—","https://www.amazon.co.uk/gp/product/1409179516"
"Beloved","Toni Morrison","3.84","4.99","11.02","8.79","7.99","5.28","https://www.amazon.co.uk/gp/product/1400033411"
"West","Carys Davies","3.72","6.02","—","—","7.37","5.39","https://www.amazon.co.uk/gp/product/1501179349"
"The Perseverance","Raymond Antrobus","4.33","5.63","—","—","7.72","8.38","https://www.amazon.co.uk/gp/product/1908058528"
"The New Me","Halle Butler","3.44","3.99","—","—","7.37","3.02","https://www.amazon.co.uk/gp/product/0143133608"
"Afropean: Notes from Black Europe","Johny Pitts","4.11","7.99","20.00","17.20","9.01","7.68","https://www.amazon.co.uk/gp/product/0141984724"
"The Age of Surveillance Capitalism: The Fight for a Human Future at the New Frontier of Power","Shoshana Zuboff","4.09","—","—","—","—","—","https://www.amazon.co.uk/gp/product/1610395697"
"The Wife's Tale: A Personal History","Aida Edemariam","3.62","4.99","—","6.78","8.19","4.61","https://www.amazon.co.uk/gp/product/0062136038"
"Political Tribes: Group Instinct and the Fate of Nations","Amy Chua","4.21","6.71","20.00","20.00","8.19","8.33","https://www.amazon.co.uk/gp/product/0399562850"
"Staying Power: The History of Black People in Britain","Peter Fryer","4.38","6.71","85.00","82.92","10.83","15.72","https://www.amazon.co.uk/gp/product/0861047494"
"Enlightenment Now: The Case for Reason, Science, Humanism, and Progress","Steven Pinker","4.24","9.49","—","—","10.65","10.87","https://www.amazon.co.uk/gp/product/0525427570"
"Alchemy: The Surprising Power of Ideas That Don't Make Sense","Rory Sutherland","4.29","9.99","14.99","15.94","9.99","—","https://www.amazon.co.uk/gp/product/0753556510"
"Working: Researching, Interviewing, Writing","Robert A. Caro","4.43","—","—","15.20","10.32","—","https://www.amazon.co.uk/gp/product/0525656340"
"10 Minutes 38 Seconds in This Strange World","Elif Shafak","4.08","7.99","11.99","12.16","7.49","—","https://www.amazon.co.uk/gp/product/0241293863"
"A Fistful of Shells: West Africa from the Rise of the Slave Trade to the Age of Revolution","Toby Green","4.09","7.99","—","17.72","8.99","9.57","https://www.amazon.co.uk/gp/product/0241003172"
"Middle England (Rotters' Club, #3)","Jonathan Coe","3.97","4.99","18.55","17.25","6.29","2.23","https://www.amazon.co.uk/gp/product/0241309468"
"Metropolis (Bernie Gunther, #14)","Philip Kerr","4.19","4.99","11.93","6.74","8.99","—","https://www.amazon.co.uk/gp/product/1787473201"
"Patsy","Nicole Y. Dennis-Benn","3.83","4.99","12.99","7.00","7.37","7.69","https://www.amazon.co.uk/gp/product/1631495631"
"Wouldn't Take Nothing for My Journey Now","Maya Angelou","4.28","3.99","—","0.47","8.99","0.70","https://www.amazon.co.uk/gp/product/0553380176"
""I Will Not Be Erased": Our stories about growing up as people of colour","gal-dem","4.31","—","—","—","—","—","https://www.amazon.co.uk/gp/product/1406393194"
"This is the Story of a Happy Marriage","Ann Patchett","4.00","6.71","—","8.64","—","2.53","https://www.amazon.co.uk/gp/product/0062236679"
"Bad Behavior","Mary Gaitskill","3.90","4.99","—","59.99","7.37","8.28","https://www.amazon.co.uk/gp/product/0679723277"
"Three Women","Lisa Taddeo","3.70","6.71","16.99","14.08","7.99","—","https://www.amazon.co.uk/gp/product/1451642296"
"Trick Mirror: Reflections on Self-Delusion","Jia Tolentino","4.24","8.99","14.99","—","9.99","—","https://www.amazon.co.uk/gp/product/0525510540"
"Terrific Mother","Lorrie Moore","3.66","1.89","—","—","3.15","1.06","https://www.amazon.co.uk/gp/product/0571351832"
"The Positive Birth Book: A new approach to pregnancy, birth and the early weeks","Milli Hill","4.46","5.62","—","—","14.99","9.99","https://www.amazon.co.uk/gp/product/1780664303"
"Letters from London: Seven Essays by C.L.R. James","C.L.R. James","3.45","—","—","12.00","10.99","1.24","https://www.amazon.co.uk/gp/product/1902669614"
"Beyond A Boundary","C.L.R. James","4.15","5.99","—","100.00","9.01","8.29","https://www.amazon.co.uk/gp/product/022407427X"
"The Black Jacobins: Toussaint L'Ouverture and the San Domingo Revolution","C.L.R. James","4.32","9.99","—","—","14.99","36.80","https://www.amazon.co.uk/gp/product/0679724672"
"Ottolenghi SIMPLE","Yotam Ottolenghi","4.37","9.99","16.72","15.55","—","—","https://www.amazon.co.uk/gp/product/1785031163"
"Our Man in Havana","Graham Greene","3.94","4.99","6.49","5.00","4.35","0.68","https://www.amazon.co.uk/gp/product/0140184937"
"The Heart of the Matter","Graham Greene","3.99","0.96","19.95","—","6.99","3.19","https://www.amazon.co.uk/gp/product/0099478420"
"The Quiet American","Graham Greene","3.97","4.99","—","16.17","7.37","4.64","https://www.amazon.co.uk/gp/product/0143039024"
"Graham Greene: A Life in Letters","Graham Greene","4.09","—","—","27.68","—","16.19","https://www.amazon.co.uk/gp/product/0316727938"
"A Sort Of Life","Graham Greene","3.70","5.49","—","4.31","7.37","0.22","https://www.amazon.co.uk/gp/product/0671782185"
"Middlesex","Jeffrey Eugenides","4.00","3.47","9.55","5.75","6.01","2.45","https://www.amazon.co.uk/gp/product/0312422156"
"The Sisterhood: A Love Letter to the Women Who Have Shaped Me","Daisy Buchanan","3.76","4.99","—","—","8.19","8.93","https://www.amazon.co.uk/gp/product/1472238850"
"The Life and Times of the Thunderbolt Kid","Bill Bryson","3.94","3.99","—","0.15","8.19","4.99","https://www.amazon.co.uk/gp/product/076791936X"
"The Argonauts","Maggie Nelson","4.03","—","—","31.95","—","21.97","https://www.amazon.co.uk/gp/product/1555977073"
"Liquid Rules: The Delightful and Dangerous Substances That Flow Through Our Lives","Mark Miodownik","4.13","—","—","16.87","12.39","—","https://www.amazon.co.uk/gp/product/054485019X"
"Ten Arguments For Deleting Your Social Media Accounts Right Now","Jaron Lanier","3.53","5.49","9.99","5.88","2.69","2.45","https://www.amazon.co.uk/gp/product/1847925391"
"Make It Ahead: A Barefoot Contessa Cookbook","Ina Garten","4.14","14.99","27.50","11.40","—","—","https://www.amazon.co.uk/gp/product/0307464881"
"The Order of Time","Carlo Rovelli","4.08","4.99","—","—","7.37","7.88","https://www.amazon.co.uk/gp/product/073521610X"
"Broad Band: The Untold Story of the Women Who Made the Internet","Claire L.  Evans","3.96","9.99","18.39","16.01","12.94","—","https://www.amazon.co.uk/gp/product/0735211752"
"Heart Berries","Terese Marie Mailhot","3.84","5.78","12.99","7.82","7.37","3.10","https://www.amazon.co.uk/gp/product/1619023342"
"Skin in the Game: Hidden Asymmetries in Daily Life","Nassim Nicholas Taleb","3.86","9.99","—","19.46","8.19","11.46","https://www.amazon.co.uk/gp/product/042528462X"
"Morvern Callar","Alan Warner","3.69","—","—","—","7.99","4.54","https://www.amazon.co.uk/gp/product/038548741X"
"Calypso","David Sedaris","4.15","6.99","13.59","8.05","8.19","8.19","https://www.amazon.co.uk/gp/product/0316392383"
"Transcription","Kate Atkinson","3.49","5.99","16.24","1.99","6.29","1.74","https://www.amazon.co.uk/gp/product/031617663X"
"The Food Explorer: The True Adventures of the Globe-Trotting Botanist Who Transformed What America Eats","Daniel Stone","4.03","3.99","25.00","14.18","11.99","4.73","https://www.amazon.co.uk/gp/product/1101990589"
"The Pragmatic Programmer: From Journeyman to Master","Andy Hunt","4.31","14.85","—","—","—","32.13","https://www.amazon.co.uk/gp/product/020161622X"
"Things I Don't Want to Know","Deborah Levy","4.13","4.99","14.99","14.20","4.00","8.22","https://www.amazon.co.uk/gp/product/1907903631"
"Books v. Cigarettes","George Orwell","3.90","2.99","—","—","—","—","https://www.amazon.co.uk/gp/product/0141036613"
"Why I Write","George Orwell","4.03","—","—","—","—","5.23","https://www.amazon.co.uk/gp/product/0143036351"
"Coming Up for Air","George Orwell","3.79","1.33","—","15.00","8.19","5.00","https://www.amazon.co.uk/gp/product/0156196255"
"Facts Are Subversive: Political Writing from a Decade without a Name","Timothy Garton Ash","3.71","9.98","—","0.50","14.99","—","https://www.amazon.co.uk/gp/product/1848870892"
"The Letters Of Evelyn Waugh","Evelyn Waugh","4.15","—","—","4.66","—","059.95","https://www.amazon.co.uk/gp/product/1857992458"
