title,author,isbn,avg rating,shelves,date added
The Hungover Games: A True Story,"Heawood, Sophie",316499064,3.85,"to-read
[edit]","Nov 29, 2020"
The Devil and the Dark Water,"Turton, Stuart *",1728206022,3.95,"to-read
[edit]","Nov 29, 2020"
The Mission House,"Davies, Carys *",178378430X,3.92,"to-read
[edit]","Nov 29, 2020"
The Lying Life of Adults,"Ferrante, Elena",1609455916,3.72,"to-read
[edit]","Nov 29, 2020"
Cathedrals of Steam: How London’s Great Stations Were Built – And How They Transformed the City,"Wolmar, Christian",1786499207,5,"to-read
[edit]","Nov 20, 2020"
A Tomb With a View: The stories & glories of graveyards,"Ross, Peter",,4.44,"to-read
[edit]","Nov 20, 2020"
Red Sands: Dispatches and Recipes from Unsung Cities and Open Steppe,"Eden, Caroline",1787134822,3.4,"to-read
[edit]","Nov 20, 2020"
"Head, Hand, Heart: Why Intelligence Is Over-Rewarded, Manual Workers Matter, and Caregivers Deserve More Respect","Goodhart, David",1982128445,3.98,"to-read
[edit]","Nov 20, 2020"
Frank Ramsey: A Sheer Excess of Powers,"Misak, Cheryl",019875535X,4.26,"to-read
[edit]","Nov 20, 2020"
The Ice: A Journey to Antarctica,"Pyne, Stephen J.",075381773X,3.81,"to-read
[edit]","Nov 20, 2020"
The Discomfort of Evening,"Rijneveld, Marieke Lucas",571349366,3.49,"to-read
[edit]","Nov 20, 2020"
Marking Time: Art in the Age of Mass Incarceration,"Fleetwood, Nicole R",067491922X,4.76,"to-read
[edit]","Nov 20, 2020"
Twilight of Democracy: The Seductive Lure of Authoritarianism,"Applebaum, Anne",771005857,4.04,"to-read
[edit]","Nov 20, 2020"
Underground Asia: Global Revolutionaries and the Overthrow of Europe's Empires in the East,"Harper, Tim",1846145627,0,"to-read
[edit]","Nov 20, 2020"
Boom and Bust: A Global History of Financial Bubbles,"Quinn, William",1108421253,4.44,"to-read
[edit]","Nov 16, 2020"
What Do We Know and What Should We Do about Social Mobility?,"Major, Lee Elliot",1529732042,0,"to-read
[edit]","Nov 16, 2020"
"Money for Nothing: The Scientists, Fraudsters, and Corrupt Politicians Who Reinvented Money, Panicked a Nation, and Made the World Rich","Levenson, Thomas",812998464,4.13,"to-read
[edit]","Nov 16, 2020"
"Rentier Capitalism: Who Owns the Economy, and Who Pays for It?","Christophers, Brett",,4.5,"to-read
[edit]","Nov 16, 2020"
Greed Is Dead: Politics After Individualism,"Collier, Paul",241467950,3.78,"to-read
[edit]","Nov 16, 2020"
Bandit Capitalism: Carillion and the Corruption of the British State,"Wylie, Bob",,3.4,"to-read
[edit]","Nov 16, 2020"
If Then: How the Simulmatics Corporation Invented the Future,"Lepore, Jill",1631496107,3.9,"to-read
[edit]","Nov 16, 2020"
No Rules Rules: Netflix and the Culture of Reinvention,"Hastings, Reed",593152387,4.33,"to-read
[edit]","Nov 16, 2020"
Expert: Understanding the Path to Mastery,"Kneebone, Roger",241392039,4.4,"to-read
[edit]","Nov 16, 2020"
Reimagining Capitalism: How Business Can Save the World,"Henderson, Rebecca",241379660,4.33,"to-read
[edit]","Nov 16, 2020"
"Explaining Humans: What Science Can Teach Us about Life, Love and Relationships","Pang, Camilla",241409608,3.87,"to-read
[edit]","Nov 16, 2020"
Nose Dive: A Field Guide to the World's Smells,"McGee, Harold",1594203954,4.33,"to-read
[edit]","Nov 16, 2020"
The Internet in Everything: Freedom and Security in a World with No Off Switch,"DeNardis, Laura",300233078,3.62,"to-read
[edit]","Nov 16, 2020"
Analogia: The Emergence of Technology Beyond Programmable Control,"Dyson, George",374104867,3.37,"to-read
[edit]","Nov 16, 2020"
The Poison Squad: One Chemist's Single-Minded Crusade for Food Safety at the Turn of the Twentieth Century,"Blum, Deborah",1594205140,3.89,"to-read
[edit]","Nov 15, 2020"
The Rise and Fall of the Dinosaurs: A New History of a Lost World,"Brusatte, Stephen *",62490427,4.14,"to-read
[edit]","Nov 15, 2020"
Kiss Myself Goodbye: The Many Lives of Aunt Munca,"Mount, Ferdinand",1472979427,4.49,"to-read
[edit]","Nov 08, 2020"
Falastin: A Cookbook,"Tamimi, Sami",,4.51,"to-read
[edit]","Nov 06, 2020"
Luster,"Leilani, Raven *",374194327,3.64,"to-read
[edit]","Nov 03, 2020"
Between the Woods and the Water,"Fermor, Patrick Leigh",1590171667,4.3,"to-read
[edit]","Nov 02, 2020"
A Time of Gifts,"Fermor, Patrick Leigh",1590171659,4.06,"to-read
[edit]","Nov 02, 2020"
You're Not Listening: What You're Missing and Why It Matters,"Murphy, Kate *",1250297192,4.13,"to-read
[edit]","Oct 31, 2020"
Hood Feminism: Notes from the Women That a Movement Forgot,"Kendall, Mikki *",525560548,4.45,"to-read
[edit]","Oct 31, 2020"
The Beauty in Breaking,"Harper, Michele",525537384,3.88,"to-read
[edit]","Oct 31, 2020"
"The Address Book: What Street Addresses Reveal About Identity, Race, Wealth, and Power","Mask, Deirdre *",1250134765,4.15,"to-read
[edit]","Oct 31, 2020"
Untamed,"Doyle, Glennon *",1984801252,4.12,"to-read
[edit]","Oct 31, 2020"
Nobody Will Tell You This But Me: A True (as Told to Me) Story,"Kalb, Bess",525654712,4.27,"to-read
[edit]","Oct 31, 2020"
A Promised Land,"Obama, Barack *",1524763160,4.48,"to-read
[edit]","Oct 31, 2020"
"Other Minds: The Octopus, the Sea, and the Deep Origins of Consciousness","Godfrey-Smith, Peter",374227764,3.86,"to-read
[edit]","Oct 16, 2020"
The Unfolding of Language: An Evolutionary Tour of Mankind's Greatest Invention,"Deutscher, Guy",805080120,4.19,"to-read
[edit]","Oct 01, 2020"
Dishing the Dirt: The Hidden Lives of House Cleaners,"Duerden, Nick",1912454467,4.17,"to-read
[edit]","Oct 01, 2020"
Between the Stops: The View of My Life from the Top of the Number 12 Bus,"Toksvig, Sandi",,4.41,"to-read
[edit]","Sep 29, 2020"
So You Want to Talk About Race,"Oluo, Ijeoma",1580056776,4.52,"to-read
[edit]","Sep 13, 2020"
Spoon-Fed: Why Almost Everything We’ve Been Told About Food is Wrong,"Spector, Tim",1473576407,4.06,"to-read
[edit]","Sep 06, 2020"
"How We Learn: The Surprising Truth About When, Where, and Why It Happens","Carey, Benedict",812993888,3.92,"to-read
[edit]","Sep 06, 2020"
How to grow your own poem,"Clanchy, Kate *",,5,"to-read
[edit]","Aug 30, 2020"
Breath: The New Science of a Lost Art,"Nestor, James",735213615,4.23,"to-read
[edit]","Aug 16, 2020"
On Palestine,"Chomsky, Noam",1608464709,4.11,"to-read
[edit]","Aug 03, 2020"
Mr. Loverman,"Evaristo, Bernardine",241145783,4.22,"to-read
[edit]","Jul 11, 2020"
"This Too Shall Pass: Stories of Change, Crisis and Hopeful Beginnings","Samuel, Julia",241348862,3.89,"to-read
[edit]","Jul 05, 2020"
Wanderland,"Reddy, Jini",147295193X,3.57,"to-read
[edit]","Jun 28, 2020"
A History of Solitude,"Vincent, David",1509536604,3.44,"to-read
[edit]","Jun 28, 2020"
Active Measures: The Secret History of Disinformation and Political Warfare,"Rid, Thomas *",374287260,4.26,"to-read
[edit]","Jun 28, 2020"
Hitting a Straight Lick with a Crooked Stick: Stories from the Harlem Renaissance,"Hurston, Zora Neale",62915797,3.95,"to-read
[edit]","Jun 28, 2020"
"Dirt: Adventures in Lyon as a chef in training, father, and sleuth looking for the secret of French cooking","Buford, Bill",,3.6,"to-read
[edit]","Jun 28, 2020"
Unleashed: The Unapologetic Leader's Guide to Empowering Everyone Around You,"Frei, Frances",,4.2,"to-read
[edit]","Jun 28, 2020"
Poverty Is Not Natural,"Curtis, George",856835250,3.09,"to-read
[edit]","Jun 28, 2020"
The Uncounted,"Cobham, Alex",1509536019,4,"to-read
[edit]","Jun 28, 2020"
Djinn Patrol on the Purple Line,"Anappara, Deepa",593129199,3.86,"to-read
[edit]","Jun 28, 2020"
The Restaurant: A History of Eating Out,"Sitwell, William",147117963X,3.59,"to-read
[edit]","Jun 28, 2020"
Lessons from a Warzone: How to be a Resilient Leader in Times of Crisis,"Al Roumani, Louai *",241404851,4.12,"to-read
[edit]","Jun 28, 2020"
"A World Without Work: Technology, Automation, and How We Should Respond","Susskind, Daniel",,3.83,"to-read
[edit]","Jun 28, 2020"
In the Land of Men: A Memoir,"Miller, Adrienne",62682415,3.27,"to-read
[edit]","Jun 28, 2020"
And Their Children After Them,"Mathieu, Nicolas",,3.86,"to-read
[edit]","Jun 28, 2020"
"Hi Five (IQ, #4)","Ide, Joe",,3.52,"to-read
[edit]","Jun 28, 2020"
In Praise of Older Women: The Amorous Recollections of András Vajda,"Vizinczey, Stephen *",226858863,3.81,"to-read
[edit]","Jun 26, 2020"
